numID	code	name	numparam	paramtype1	base1	length1	description1	paramtype2	base2	length2	description2	paramtype3	base3	length3	description3	paramtype4	base4	length4	description4	attribute description	modcode1	modcode2	modcode3	modcode4	*eol
0	str	Strength	1	0	-32	8														#1 Strength	max				0
1	enr	Energy	1	0	-32	7														#1 Energy	max				0
2	dex	Dexterity	1	0	-32	7														#1 Dexterity	max				0
3	vit	Vitality	1	0	-32	7														#1 Vitality	max				0
4		Stat Points																							0
5		Skill Points																							0
6		Life																							0
7	hp	Max Life	1	0	-32	9														#1 Life	max				0
8		Mana																							0
9	mana	Max Mana	1	0	-32	8														#1 Mana	max				0
10		stamina																							0
11	stam	Max Stamina	1	0	-32	8														#1 Stamina	max				0
12		Level																							0
13		experience																							0
14		gold																							0
15		goldbank																							0
16	ac%	Enhanced Defense %	1	0	0	9	%													#1% Enchanced Defense	max				0
17	dmg%	Enchanced Damage %	2	0	0	9	% Min Damage	0	0	9	% Max Damage									"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""#1%, #2% Enchanced Damage"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""	min	max			0
18	min-dmg%	Enchanced Min Dmg %	1	0	0	9	%													#1% Enchanced Min Dmg	max				0
19	att	Attack Rating	1	0	0	10														#1 Attack Rating	max				0
20	block	Chance of Blocking %	1	0	0	6	%													#1% Chance of Blocking	max				0
21	dmg-min	Min 1-handed Dmg	1	0	0	6														#1 Minimum 1-Handed Damage	max				0
22	dmg-max	Max 1-handed Dmg	1	0	0	7														#1 Maximum 1-Handed Damage	max				0
23	dmg-min	Min 2-handed Dmg	1	0	0	6														#1 Minimum 2-Handed Damage	max				0
24	dmg-max	Max 2-handed Dmg	1	0	0	7														#1 Maximum 2-Handed Damage	max				0
25		Damage % nv	1	0	0	8	%													#1% Damage nv	max				0
26		Regenerate Mana % nv	1	0	0	8	%													Regenerate Mana $1% nv	max				0
27	regen-mana	Regenerate Mana Plus %	1	0	0	8	%													Regenerate Mana Plus $1%	max				0
28	regen-stam	Heal Stemina Plus %	1	0	0	8	%													Heal Stamina Plus $1%	max				0
29		lastexp																							0
30		nextexp																							0
31	ac	Defense	1	0	-10	11														#1 Defense	max				0
32	ac-miss	Def vs Missile	1	0	0	9														#1 Defense vs Missile	max				0
33	ac-hth	Def vs Melee	1	0	0	8														#1 Defense vs Melee	max				0
34	red-dmg	Damage Reduced By	1	0	0	6														Damage Recuded By #1	max				0
35	red-mag	Magic Dmg Reduced By	1	0	0	6														Magical Damage Recuded By #1	max				0
36	red-dmg%	Damage Reduced By %	1	0	0	8	%													Damage Recuded By #1%	max				0
37	res-mag	Magic Resistance %	1	0	0	8	%													#1% Magic Resistance	max				0
38	res-mag-max	Max Magic Resistance %	1	0	0	5	%													#1% Maximum Magic Resistance	max				0
39	res-fire	Fire Resistance %	1	0	-50	8	%													#1% Fire Resistance	max				0
40	res-fire-max	Max Fire Resistance %	1	0	0	5	%													#1% Maximum Fire Resistance	max				0
41	res-ltng	Lightning Resistance %	1	0	-50	8	%													#1% Lightning Resistance	max				0
42	res-ltng-max	Max Lightning Resistance %	1	0	0	5	%													#1% Maximum Lightning Resistance	max				0
43	res-cold	Cold Resistance %	1	0	-50	8	%													#1% Cold Resistance	max				0
44	res-cold-max	Max Cold Resistance %	1	0	0	5	%													#1% Maximum Cold Resistance	max				0
45	res-pois	Poison Resistance %	1	0	-50	8	%													#1% Poison Resistance	max				0
46	res-pois-max	Max Poison Resistance %	1	0	0	5	%													#1% Maximum Poison Resistance	max				0
47		damageaura																							0
48	dmg-fire	Fire Damage	2	0	0	8	Min	0	0	9	Max									$1 - $2 Fire Damage	min	max			0
49		Max Fire Damage	1	0	0	9														#1 Maximum Fire Damage	max				0
50	dmg-ltng	Lightning Damage	2	0	0	6	Min	0	0	10	Max									$1 - $2 Linghtning Damage	min	max			0
51		Max Lightning Dmg	1	0	0	10														#1 Maximum Linghtning Damage	max				0
52	dmg-mag	Magic Damage	2	0	0	8	Min	0	0	9	Max									#1 Minimum Magic Damage	min	max			0
53		Max Magic Damage	1	0	0	9														#1 Maximum Magic Damage	max				0
54	dmg-cold	Cold Damage	3	0	0	8	Min	0	0	9	Max	1	0	8	(=#/25)sec Cold Length					$1 - $2 Cold Damage (Cold Length $3 sec)	min	max	param		0
55		Max Cold Damage	1	0	0	9														#1 Maximum Cold Damage	max				0
56		Cold Length	1	1	0	8	(=#/25)sec Cold Length													#1 sec Cold Length	max				0
57	dmg-pois	Poison Damage	3	2	0	10	*length/10.2 = Min	2	0	10	*length/10.2 = Max	1	0	9	(=#/25)sec Poison Length					$1 - $2 Poison Damage Over $3 sec	min	max	param		0
58		Max Poison Dmg	1	0	0	10														#1 Maximum Poison Damage	max				0
59		Poison Length	1	1	0	9	(=#/25)sec Poison Length													#1 sec Poison Length	param				0
60	lifesteal	Life Stolen Per Hit Min	1	0	0	7	%													$1% Life Stolen per Hit	max				0
61		Life Stolen Per Hit Max																							0
62	manasteal	Mana Stolen Per Hit Min	1	0	0	7	%													$1% Mana Stolen per Hit	max				0
63		Mana Stolen Per Hit Max																							0
64		Stamina Drain Min																							0
65		Stamina Drain Max																							0
66		Stun Length																							0
67		Run/Walk Speed % nv	1	0	-30	7	%													Run/Walk Speed $1% nv	max				0
68		Attack Speed % nv	1	0	-30	7	%													Attack Speed $1% nv	max				0
69		other_animrate																							0
70		quantity																							0
71		value	1	0	-100	8																			0
72		Durabilty	1	0	0	9														#1 Current Durability nv	max				0
73	dur	Max Durability	1	0	0	8														#1 Maximum Durability nv	max				0
74	regen	Replenish Life	1	0	-30	6														Replenish Life #1	max				0
75	dur%	Max Durability %	1	0	-20	7	%													#1% Maximum Durability	max				0
